iter	Passed	Remaining
0	12	1262
1	28	1437
2	45	1506
3	58	1441
4	76	1492
5	92	1488
6	109	1501
7	122	1452
8	139	1461
9	156	1452
10	173	1450
11	190	1444
12	206	1431
13	222	1416
14	239	1407
15	257	1397
16	274	1389
17	291	1377
18	308	1364
19	326	1354
20	343	1339
21	361	1329
22	380	1324
23	399	1314
24	417	1301
25	434	1288
26	452	1273
27	470	1260
28	488	1247
29	507	1234
30	526	1221
31	543	1206
32	563	1195
33	582	1182
34	600	1166
35	618	1150
36	637	1136
37	655	1120
38	672	1104
39	689	1085
40	707	1070
41	724	1052
42	742	1036
43	761	1020
44	777	1002
45	796	987
46	815	971
47	833	954
48	852	939
49	871	923
50	899	917
51	920	902
52	937	884
53	952	864
54	969	845
55	984	826
56	1002	808
57	1018	790
58	1034	771
59	1050	753
60	1063	731
61	1078	713
62	1096	695
63	1112	677
64	1127	659
65	1143	641
66	1152	619
67	1167	601
68	1185	584
69	1203	567
70	1220	550
71	1237	532
72	1254	515
73	1270	497
74	1287	480
75	1305	463
76	1322	446
77	1338	429
78	1355	411
79	1371	394
80	1388	377
81	1405	359
82	1421	342
83	1439	325
84	1456	308
85	1475	291
86	1493	274
87	1511	257
88	1532	241
89	1551	224
90	1567	206
91	1586	189
92	1608	172
93	1627	155
94	1648	138
95	1665	121
96	1682	104
97	1701	86
98	1719	69
99	1738	52
100	1756	34
101	1776	17
102	1796	0
