iter	Passed	Remaining
0	24	18946
1	49	19099
2	74	19029
3	101	19549
4	133	20593
5	164	21053
6	193	21250
7	221	21249
8	250	21271
9	279	21316
10	307	21322
11	339	21565
12	372	21812
13	402	21852
14	432	21876
15	461	21859
16	490	21832
17	520	21841
18	544	21618
19	577	21763
20	607	21790
21	636	21754
22	665	21730
23	694	21701
24	722	21659
25	756	21760
26	791	21887
27	803	21397
28	831	21358
29	859	21319
30	888	21294
31	917	21273
32	949	21313
33	981	21358
34	1013	21389
35	1043	21384
36	1071	21346
37	1101	21325
38	1130	21305
39	1161	21312
40	1194	21351
41	1226	21374
42	1255	21340
43	1283	21300
44	1312	21258
45	1341	21228
46	1371	21207
47	1404	21240
48	1440	21316
49	1471	21301
50	1500	21265
51	1528	21225
52	1557	21190
53	1588	21174
54	1622	21214
55	1655	21221
56	1684	21190
57	1713	21149
58	1743	21122
59	1771	21086
60	1802	21069
61	1835	21075
62	1867	21072
63	1896	21035
64	1924	20997
65	1954	20961
66	1983	20927
67	2012	20896
68	2045	20904
69	2078	20904
70	2108	20875
71	2137	20844
72	2167	20809
73	2196	20782
74	2228	20770
75	2263	20784
76	2295	20779
77	2325	20747
78	2353	20705
79	2383	20674
80	2412	20638
81	2442	20615
82	2479	20646
83	2514	20655
84	2544	20625
85	2572	20583
86	2591	20467
87	2620	20425
88	2650	20397
89	2683	20394
90	2717	20397
91	2747	20369
92	2777	20336
93	2807	20306
94	2835	20267
95	2877	20325
96	2911	20323
97	2941	20290
98	2969	20248
99	2998	20211
100	3027	20170
101	3056	20134
102	3084	20095
103	3119	20096
104	3152	20085
105	3181	20048
106	3210	20012
107	3238	19972
108	3267	19934
109	3296	19898
110	3330	19890
111	3362	19874
112	3390	19834
113	3419	19799
114	3448	19761
115	3472	19694
116	3499	19650
117	3533	19642
118	3566	19629
119	3595	19596
120	3626	19571
121	3656	19539
122	3685	19504
123	3715	19474
124	3748	19464
125	3781	19448
126	3801	19366
127	3830	19330
128	3859	19298
129	3889	19266
130	3917	19228
131	3950	19214
132	3984	19205
133	4014	19175
134	4043	19137
135	4072	19104
136	4101	19068
137	4130	19038
138	4164	19022
139	4196	19004
140	4225	18968
141	4254	18937
142	4273	18858
143	4301	18819
144	4329	18782
145	4361	18762
146	4396	18750
147	4427	18726
148	4455	18689
149	4474	18613
150	4501	18573
151	4531	18543
152	4559	18507
153	4591	18485
154	4625	18473
155	4657	18450
156	4686	18419
157	4714	18382
158	4743	18348
159	4773	18316
160	4802	18283
161	4835	18268
162	4869	18253
163	4899	18221
164	4929	18194
165	4958	18159
166	4986	18125
167	5015	18092
168	5050	18080
169	5082	18056
170	5111	18023
171	5140	17991
172	5169	17957
173	5198	17926
174	5227	17892
175	5261	17877
176	5293	17853
177	5322	17822
178	5351	17788
179	5380	17757
180	5409	17721
181	5437	17688
182	5471	17669
183	5507	17658
184	5535	17623
185	5564	17591
186	5593	17556
187	5622	17525
188	5653	17499
189	5687	17481
190	5720	17459
191	5750	17430
192	5779	17397
193	5808	17366
194	5838	17335
195	5868	17304
196	5901	17285
197	5933	17261
198	5962	17228
199	5991	17196
200	6021	17164
201	6049	17128
